"ID","Property","Data"
"http://example.org/NIMP/TI-UEVK910959","https://w3id.org/biolink/vocab/category","bican:TissueSample"
"http://example.org/NIMP/TI-FADB246110","http://www.w3.org/2000/01/rdf-schema#label","C57BL6J-712900.12_Mouse-Multiome-HB"
"http://example.org/NIMP/TI-YNZO516294","https://w3id.org/biolink/vocab/category","bican:TissueSample"
"http://example.org/NIMP/TI-CEOQ751792","http://www.w3.org/2000/01/rdf-schema#label","C57BL6J-702995.02_Mouse-Multiome-CTXsp"
"http://example.org/NIMP/TI-ZKRO306479","https://w3id.org/biolink/vocab/category","bican:TissueSample"
"http://example.org/NIMP/TI-PGFT319246","https://w3id.org/biolink/vocab/category","bican:TissueSample"
"http://example.org/NIMP/TI-ZCAT365527","https://w3id.org/biolink/vocab/category","bican:TissueSample"
"http://example.org/NIMP/TI-ORQM859308","http://www.w3.org/ns/prov#wasDerivedFrom","file:///Users/tekrajchhetri/Documents/rapid_release/new_la_data/DO-FBJE3974"
"http://example.org/NIMP/TI-JGCQ424121","http://www.w3.org/2000/01/rdf-schema#label","C57BL6J-691950.18_Mouse-10x-TH"
"http://example.org/NIMP/TI-MPMP403630","http://www.w3.org/ns/prov#wasDerivedFrom","file:///Users/tekrajchhetri/Documents/rapid_release/new_la_data/DO-BZJE5404"
"http://example.org/NIMP/TI-HDAU781138","http://www.w3.org/2000/01/rdf-schema#label","H23.30.001.CX.21.Hipp.02_Hipp"
"http://example.org/NIMP/TI-PSPS654871","https://w3id.org/biolink/vocab/category","bican:TissueSample"
"http://example.org/NIMP/TI-SJIW803031","https://identifiers.org/brain-bican/vocab/structure","MBA:698"
"http://example.org/NIMP/TI-YFCT244873","https://identifiers.org/brain-bican/vocab/structure","DHBA:10350"
"http://example.org/NIMP/TI-AEQE538457","http://www.w3.org/ns/prov#wasDerivedFrom","file:///Users/tekrajchhetri/Documents/rapid_release/new_la_data/RI-NOOJSP125407"
"http://example.org/NIMP/TI-TNXS276600","https://w3id.org/biolink/vocab/category","bican:TissueSample"
"http://example.org/NIMP/TI-SKLR370510","http://www.w3.org/2000/01/rdf-schema#label","C57BL6J-709980.17_Mouse-Multiome-OLF"
"http://example.org/NIMP/TI-RFLA906514","http://www.w3.org/ns/prov#wasDerivedFrom","file:///Users/tekrajchhetri/Documents/rapid_release/new_la_data/DO-PKNK6608"
"http://example.org/NIMP/TI-XWWF232098","http://www.w3.org/ns/prov#wasDerivedFrom","file:///Users/tekrajchhetri/Documents/rapid_release/new_la_data/DO-PKNK6608"
"http://example.org/NIMP/TI-UBDJ695905","http://www.w3.org/2000/01/rdf-schema#label","C57BL6J-701870.15_Mouse-10x-HB"
"http://example.org/NIMP/TI-KZON884168","https://identifiers.org/brain-bican/vocab/structure","MBA:1097"
"http://example.org/NIMP/TI-SNKI286983","https://w3id.org/biolink/vocab/category","bican:TissueSample"
"http://example.org/NIMP/TI-NHPE437998","https://w3id.org/biolink/vocab/category","bican:TissueSample"
"http://example.org/NIMP/TI-XEBS724390","https://w3id.org/biolink/vocab/category","bican:TissueSample"
"http://example.org/NIMP/TI-TKSH864811","http://www.w3.org/2000/01/rdf-schema#label","C57BL6J-700378.14_Mouse-Multiome-TH"
"http://example.org/NIMP/TI-HYAD610556","http://www.w3.org/2000/01/rdf-schema#label","C57BL6J-670743.04_Mouse-Multiome-HB"
"http://example.org/NIMP/TI-YJCS483579","http://www.w3.org/ns/prov#wasDerivedFrom","file:///Users/tekrajchhetri/Documents/rapid_release/new_la_data/DO-ZCMH4887"
"http://example.org/NIMP/TI-VATI152626","https://identifiers.org/brain-bican/vocab/structure","DHBA:10338"
"http://example.org/NIMP/TI-BDGI720773","https://w3id.org/biolink/vocab/category","bican:TissueSample"
"http://example.org/NIMP/TI-XOWL114039","http://www.w3.org/2000/01/rdf-schema#label","C57BL6J-697776.04_Mouse-Multiome-MB"
